DATE: 2019-03-27 12:14:17 AMAction: Borrowed an Item: CON1234 | Parameters: USER ID: CONU1111/ Item ID: CON1234/ Number OF Day: 4 | Action Status: Success | Resonse: true
DATE: 2019-03-27 12:14:38 AMAction: find an Item: A | Parameters: USER ID: CONU1111/ Item Name: A | Action Status: Success | Resonse: CON1234=Item{itemName='A', itemQty='0'}
DATE: 2019-03-27 12:15:06 AMAction: List of Items  | Parameters: USER ID: CONM1111 | Action Status: Success | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON1234=Item{itemName='A', itemQty='0'}}
DATE: 2019-03-27 12:17:25 AMAction: Replaced CON1234 withCON1010 | Parameters: USER ID: CONU1111/ New Item ID: CON1010/ old Item id: CON1234 | Action Status: Success | Resonse: true
DATE: 2019-03-27 12:17:43 AMAction: List of Items  | Parameters: USER ID: CONM1111 | Action Status: Success | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='9'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON1234=Item{itemName='A', itemQty='1'}}
DATE: 2019-03-27 12:18:40 AMAction: return an Item: CON1010 | Parameters: USER ID: CONU1111/ Item ID: CON1010 | Action Status: Success | Resonse: true
DATE: 2019-03-27 12:19:42 AMAction: List of Items  | Parameters: USER ID: CONM1111 | Action Status: Success | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON1234=Item{itemName='A', itemQty='1'}}
DATE: 2019-03-27 12:21:51 AMAction: REMOVE ITEM CON1010 | Parameters: USER ID: CONM1111/ Item Id: CON1010 | Action Status: Failed | Resonse: ITEM REMOVED: false
DATE: 2019-03-27 12:28:30 AMAction: REMOVE ITEM CON1010 | Parameters: USER ID: CONM1111/ Item Id: CON1010 | Action Status: Success | Resonse: ITEM REMOVED: true
DATE: 2019-03-27 12:31:50 AMAction: List of Items  | Parameters: USER ID: CONM1111 | Action Status: Success | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='9'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}}
DATE: 2019-03-27 12:32:27 AMAction: REMOVE ITEM CON1010 | Parameters: USER ID: CONM1111/ Item Id: CON1010 | Action Status: Success | Resonse: ITEM REMOVED: true
DATE: 2019-03-27 12:32:35 AMAction: List of Items  | Parameters: USER ID: CONM1111 | Action Status: Success | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='6'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}}
DATE: 2019-03-27 12:44:47 AMAction: List of Items  | Parameters: USER ID: CONM1111 | Action Status: Success | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}}
DATE: 2019-03-27 12:46:36 AMAction: ADD ITEM CON1099 | Parameters: USER ID: CONM1111/ Item Id: CON1099/ Item Name: A/ Quantity: 12 | Action Status: Success | Resonse: ITEM ADDED: true
DATE: 2019-03-27 12:47:39 AMAction: List of Items  | Parameters: USER ID: CONM1111 | Action Status: Success | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON1099=Item{itemName='A', itemQty='12'}}
DATE: 2019-03-27 12:59:42 AMAction: ADD ITEM CON9876 | Parameters: USER ID: CONM1111/ Item Id: CON9876/ Item Name: LOL/ Quantity: 9 | Action Status: Success | Resonse: ITEM ADDED: true
DATE: 2019-03-27 01:01:57 AMAction: List of Items  | Parameters: USER ID: CONM1111 | Action Status: Success | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON9876=Item{itemName='LOL', itemQty='9'}}
DATE: 2019-03-27 01:02:26 AMAction: List of Items  | Parameters: USER ID: CONM1111 | Action Status: Success | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON9876=Item{itemName='LOL', itemQty='9'}}
